"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PF3D7_1145000",90.1658428014843,-0.499486957842545,0.358243978611042,0.0856617803397572,0.206512770396138
"PF3D7_1145100",263.367579697165,-0.33517180807259,0.256964093967451,0.144472254199385,0.300080798401039
"PF3D7_1145200",10429.593538551,-1.10110042738133,0.19090137200477,1.70381743621852e-09,3.15269800977897e-08
"PF3D7_1145300",18.5929388602005,-0.0589796317658814,0.407728135955384,0.838392509699191,0.917830823515116
"PF3D7_1145400",1766.54829799283,-0.420549782560737,0.206172713241453,0.0284589821601621,0.0908744961572724
"PF3D7_1145500",50.7804183704066,0.420108047942171,0.400710823413287,0.172358434830566,0.338545386886729
"PF3D7_1145600",46.5540928334258,0.0345251848979934,0.367777939730308,0.906223863209106,0.95561612594243
"PF3D7_1145700",14.2472646410514,0.0353866658596581,0.436093380503623,0.904856807378895,0.955126630011056
"PF3D7_1145800",26.8877019208878,0.323835930814383,0.429546127789269,0.296368612842706,0.489082180062222
"PF3D7_1145900",11.2269584220414,0.24274647494621,0.499059016112019,0.416841205803715,0.607439182950521
"PF3D7_1146000",73.8752989831551,0.394485408632489,0.370485365488304,0.179832456810235,0.348900294726899
"PF3D7_1146100",12.7959574886467,-1.06485478038989,0.751493038792142,0.0190701592564055,0.0678399711280594
"PF3D7_1146200",14.8010389835503,-1.72695062796543,0.853706330498128,0.00286904396208916,0.0142275890080001
"PF3D7_1146300",2.97857316368281,-0.056858952863852,0.543465704736879,0.777788266919538,0.879308283895967
"PF3D7_1146500",1.18096548670321,-0.169894546862056,0.604040011455048,0.223769088812413,NA
"PF3D7_1146600",1686.6952069348,-1.11001048684058,0.202083426367985,8.32043582719394e-09,1.39395409685996e-07
"PF3D7_1146700",1.01993734441076,-0.173645724146591,0.614903591880097,0.143146748553289,NA
"PF3D7_1146800",24.5148166913279,-0.439470936617617,0.477317845377725,0.178609556004499,0.347343054206396
"PF3D7_1146900",12.6874230697245,0.273611953442341,0.525391086765735,0.355398520994253,0.547591528558946
"PF3D7_1147000",30.7130288651142,-0.881266435861381,0.582992353074427,0.0255576999821763,0.0837677688113763
"PF3D7_1147100",0,NA,NA,NA,NA
"PF3D7_1147200",133.509212253447,-0.234796997083259,0.315157904393904,0.375894781618788,0.567101375737015
"PF3D7_1147300",1132.42990461059,0.666569457976609,0.245830292823888,0.00296959636119625,0.014638397967368
"PF3D7_1147400",48.1940503554249,0.21688052541681,0.373261585638805,0.456910078108721,0.640518539050423
"PF3D7_1147500",5.69018101986144,0.145731029232038,0.516896449959669,0.582595649549501,0.742888101341213
"PF3D7_1147600",33.5479713781594,0.231019624997128,0.403205186904564,0.441204001278889,0.628888894940809
"PF3D7_1147700",91.0322188360497,0.269312429329692,0.327571699324271,0.324826911531313,0.518152394483219
"PF3D7_1147800",48.0094848230759,-0.241782881276703,0.363682754519671,0.399669361135416,0.591629958767322
"PF3D7_1147900",92.7596144431641,0.0324048796593474,0.273132684352556,0.895080732506086,0.948181366261519
