gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_1346500,33.964,21.267,13.175,75.526,49.587,88.79
PF3D7_1346600,8.958,11.519,8.758,16.034,12.432,26.392
PF3D7_1346700,22.026,19.61,32.054,9.942,4.238,10.464
PF3D7_1346800,23.962,15.837,16.515,8.185,15.284,11.418
PF3D7_1346900,22.559,41.418,49.365,25.767,20.653,43.108
PF3D7_1347000,10.763,20.278,26.607,33.34,7.997,52.764
PF3D7_1347100,121.316,144.196,130.244,227.429,113.507,255.545
PF3D7_1347200,533.972,547.599,835.109,1306.843,1155.559,1511.977
PF3D7_1347300,6.022,6.067,8.094,4.58,11.629,8.468
PF3D7_1347400,6.005,12.174,3.334,18.737,14.523,19.034
PF3D7_1347500,1564.036,1269.744,1155.104,2636.535,2089.901,3198.849
PF3D7_1347600,9.019,5.261,5.701,15.251,11.461,13.262
PF3D7_1347700,787.117,629.339,566.632,548.022,412.083,563.107
PF3D7_1347800,5.319,10.162,8.555,5.086,4.051,0.0
PF3D7_1347900,73.556,37.595,36.836,121.793,95.793,150.417
PF3D7_1348000,38.784,48.504,22.95,35.534,13.9,39.689
PF3D7_1348100,61.264,51.33,39.665,53.671,47.439,111.357
PF3D7_1348200,16.93,14.043,12.562,42.727,13.173,56.157
PF3D7_1348300,18.061,28.133,12.415,57.157,22.34,90.787
PF3D7_1348400,231.797,253.66,165.519,327.465,568.914,488.418
PF3D7_1348500,58.056,69.243,32.198,128.472,126.569,108.057
PF3D7_1348600,204.098,247.977,205.953,61.435,153.686,126.045
PF3D7_1348700,3.061,3.014,4.856,2.916,3.432,2.522
PF3D7_1348800,5.722,14.356,14.992,4.425,7.385,28.28
PF3D7_1348900,10.607,9.606,8.674,2.577,22.759,18.496
PF3D7_1349000,2.0,4.839,1.022,0.0,3.008,3.021
PF3D7_1349100,103.245,92.402,74.274,70.038,107.389,78.92
PF3D7_1349200,355.243,412.103,431.532,528.97,629.36,717.919
PF3D7_1349300,272.11,365.164,541.849,421.252,459.137,419.635
PF3D7_1349400,5.365,16.589,8.623,30.921,51.998,37.955
PF3D7_1349500,1249.737,1673.545,1414.595,1306.22,1533.448,1729.243
PF3D7_1349600,216.738,157.124,172.548,139.122,192.259,187.038
PF3D7_1349700,162.799,151.978,121.167,107.247,117.776,115.309
PF3D7_1349800,1.027,5.142,3.944,4.003,4.132,15.062
PF3D7_1349900,2.89,2.104,1.083,2.791,2.442,8.686
PF3D7_1350000,3.67,0.0,2.994,0.0,2.419,1.002
PF3D7_1350100,350.815,386.257,422.426,552.988,832.213,773.729
PF3D7_1350200,24.71,17.758,8.935,33.7,20.105,31.689
PF3D7_1350300,16.373,22.943,20.841,20.314,33.313,20.455
PF3D7_1350400,12.148,17.454,21.522,10.862,32.775,43.83
PF3D7_1350500,868.875,785.0,615.01,581.76,699.381,717.814
PF3D7_1350600,7.32,12.269,13.487,3.503,5.07,4.663
PF3D7_1350700,56.052,63.129,41.865,78.036,115.529,112.626
